ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region
YTY,medium_airport,Yangzhou Taizhou Airport,32.560184,119.717141,CN,CN-32
YYA,medium_airport,Sanhe Airport,29.314,113.278,CN,CN-43
ZBAA,large_airport,Beijing Capital International Airport,40.08010101,116.5849991,CN,CN-11
ZBAD,large_airport,Beijing Daxing International Airport,39.509945,116.41092,CN,CN-13
ZBBB,medium_airport,Beijing Xijiao Airport,39.9608,116.257004,CN,CN-11
ZBCD,medium_airport,Chengde Puning Airport,41.1225,118.073889,CN,CN-13
ZBCF,medium_airport,Chifeng Airport,42.23500061,118.9079971,CN,CN-15
ZBDH,medium_airport,Qinhuangdao Beidaihe Airport,39.666389,119.058889,CN,CN-13
ZBDS,medium_airport,Ordos Ejin Horo Airport,39.49,109.8613889,CN,CN-15
ZBER,medium_airport,Erenhot Saiwusu International Airport,43.4225,112.096667,CN,CN-15
ZBES,medium_airport,Arxan Yi'ershi Airport,47.3106,119.9117,CN,CN-15
ZBHD,medium_airport,Handan Airport,36.52583333,114.4255556,CN,CN-42
ZBHH,large_airport,Baita International Airport,40.851398,111.823997,CN,CN-15
ZBHZ,medium_airport,Holingol Huolinhe Airport,45.487222,119.407222,CN,CN-15
ZBLA,medium_airport,Dongshan Airport,49.20500183,119.8249969,CN,CN-15
ZBLF,medium_airport,Linfen Qiaoli Airport,36.132629,111.641236,CN,CN-14
ZBLL,medium_airport,Lüliang Airport,37.683333,111.142778,CN,CN-61
ZBMZ,medium_airport,Manzhouli Xijiao Airport,49.566667,117.33,CN,CN-15
ZBNY,large_airport,Beijing Nanyuan Airport,39.78279877,116.3880005,CN,CN-11
ZBOW,medium_airport,Baotou Airport,40.56000137,109.9970016,CN,CN-15
ZBSH,closed,Shanhaiguan Airport,39.968102,119.731003,CN,CN-13
ZBSJ,medium_airport,Shijiazhuang Daguocun International Airport,38.28070068,114.6969986,CN,CN-13
ZBTJ,large_airport,Tianjin Binhai International Airport,39.12440109,117.3460007,CN,CN-12
ZBTL,medium_airport,Tongliao Airport,43.556702,122.199997,CN,CN-15
ZBUC,medium_airport,Ulanqab Jining Airport,41.129722,113.108056,CN,CN-15
ZBXH,medium_airport,Xilinhot Airport,43.91559982,115.9639969,CN,CN-15
ZBYN,large_airport,Taiyuan Wusu Airport,37.74689865,112.6279984,CN,CN-14
ZBYZ,medium_airport,Bayannur Tianjitai Airport,40.926,107.7428,CN,CN-15
ZBZL,medium_airport,Chengjisihan Airport,47.865833,122.767503,CN,CN-15
ZGCD,medium_airport,Changde Airport,28.91889954,111.6399994,CN,CN-43
ZGCJ,medium_airport,Zhijiang Airport,27.44111111,109.7,CN,CN-43
ZGGG,large_airport,Guangzhou Baiyun International Airport,23.39240074,113.2990036,CN,CN-44
ZGHA,large_airport,Changsha Huanghua International Airport,28.18919945,113.2200012,CN,CN-43
ZGHC,medium_airport,Hechi Jinchengjiang Airport,24.805,107.6997,CN,CN-45
ZGKL,large_airport,Guilin Liangjiang International Airport,25.21809959,110.0390015,CN,CN-45
ZGLG,medium_airport,Lingling Airport,26.338661,111.610043,CN,CN-43
ZGNN,large_airport,Nanning Wuxu Airport,22.60829926,108.1719971,CN,CN-45
ZGOW,medium_airport,Jieyang Chaoshan International Airport,23.552,116.5033,CN,CN-44
ZGSD,medium_airport,Zhuhai Jinwan Airport,22.006399,113.375999,CN,CN-44
ZGSY,medium_airport,Shaoyang Wugang Airport,26.802,110.642,CN,CN-43
ZGSZ,large_airport,Shenzhen Bao'an International Airport,22.63929939,113.810997,CN,CN-44
ZGZH,medium_airport,Liuzhou Bailian Airport,24.2075,109.390999,CN,CN-45
ZGZJ,medium_airport,Zhanjiang Airport,21.214399,110.358002,CN,CN-44
ZHCC,large_airport,Zhengzhou Xinzheng International Airport,34.5196991,113.8410034,CN,CN-41
ZHGH,medium_airport,Guangzhou MR Air Base,32.38940048,111.6949997,CN,CN-42
ZHHH,large_airport,Wuhan Tianhe International Airport,30.7838,114.208,CN,CN-42
ZHSN,medium_airport,Shennongjia Hongping Airport,31.626,110.34,CN,CN-42
